Animal ID,Animal Type,Source,Source Date,Intake Region,Surrender Reason,Status Date,Status,Outcome Eval Cat,Primary Breed,Primary Color,Gender,DOB,Age Years,Age Months
398253,Rabbit,Humane Officer Seized,03/15/2016 21:47,Cruelty Investigations Department,,01/08/2017 13:08,Euthanized by Offsite Vet,UU,New Zealand,White,Male,03/15/2015,1,9
399447,Rabbit,Stray,03/31/2016 10:49,Vancouver Branch,,01/17/2017 15:47,Adopted Altered,H,American,Ruby Eyed White,Female,02/17/2016,6,10
400783,Rabbit,Shelter Offspring,04/16/2016 11:39,Kamloops & District Branch,,04/10/2017 16:09,Adopted Altered,H,New Zealand,White,Female,04/16/2016,6,8
399449,Rabbit,Stray,03/31/2016 10:49,Vancouver Branch,,01/17/2017 15:47,Adopted Altered,H,American,Black,Female,02/17/2016,6,10
400780,Rabbit,Shelter Offspring,04/16/2016 11:39,Kamloops & District Branch,,01/15/2017 16:08,Adopted Altered,H,New Zealand,White,Female,04/16/2016,6,8
400782,Rabbit,Shelter Offspring,04/16/2016 11:39,Kamloops & District Branch,,01/15/2017 16:08,Adopted Altered,H,New Zealand,White,Female,04/16/2016,6,8
403109,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,04/04/2017 09:44,Euthanized by Offsite Vet,UU,American,Black,Female,04/18/2016,0,11
400784,Rabbit,Shelter Offspring,04/16/2016 11:39,Kamloops & District Branch,,04/10/2017 16:09,Adopted Altered,H,New Zealand,White,Female,04/16/2016,6,8
403106,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,02/26/2017 16:30,Adopted Altered,TR,American,Grey,Female,04/18/2016,6,8
403107,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,02/26/2017 16:30,Adopted Altered,TR,American,Grey,Female,04/18/2016,6,8
403108,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,04/25/2017 13:11,Adopted Altered,TR,American,Black,Male,04/18/2016,6,8
403104,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,05/13/2017 12:45,Adopted Altered,TR,American,Black,Female,05/13/2014,8,7
403111,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,06/30/2017 13:38,Adopted Altered,TR,American,Black,Female,04/18/2016,6,8
403112,Rabbit,Stray,05/13/2016 14:31,Victoria Branch,,06/30/2017 13:38,Adopted Altered,TR,American,Black,Male,04/18/2016,6,8
410194,Rabbit,Owner Surrender,08/03/2016 09:23,West Kootenay & District Branch,No Time,03/14/2017 09:59,Adopted Altered,H,Rex,Black,Female,02/03/2015,7,10
412317,Rabbit,Owner Surrender,08/25/2016 11:15,Alberni-Clayoquot Branch,Rescue,02/11/2017 14:15,Adopted Altered,H,Polish,White,Male,08/25/2014,8,3
406969,Rabbit,Foster Offspring,06/26/2016 01:00,Victoria Branch,,03/02/2017 14:27,Adopted Altered,TR,American,Black,Male,05/18/2016,6,7
370730,Rabbit,Returns,06/17/2016 09:41,Victoria Branch,,01/30/2017 16:54,Euthanized by Offsite Vet,TR,Lionhead,White,Male,03/10/2015,1,10
413814,Rabbit,Stray,09/10/2016 13:00,Abbotsford Branch,,03/19/2017 14:33,Adopted Altered,H,Dutch,White,Female,06/26/2016,6,5
414537,Rabbit,Owner Surrender,09/17/2016 15:14,Maple Ridge Branch,Death Of Owner,01/04/2017 12:56,Adopted Altered,H,Lop Eared,Beige,Female,09/17/2012,10,3
410447,Rabbit,Stray,08/05/2016 12:30,Burnaby Branch,,01/19/2017 16:02,Adopted Altered,H,American,White,Female,02/17/2014,8,10
411728,Rabbit,Owner Surrender,08/03/2016 09:23,West Kootenay & District Branch,No Time,01/28/2017 13:00,Adopted Altered,H,Rex,Brown,Male,08/14/2016,6,4
412340,Rabbit,Stray,08/25/2016 12:54,Campbell River Branch,,03/11/2017 13:49,Adopted Altered,TM,Californian,White,Female,08/25/2014,8,3
