Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
365227,Rabbit,892.25,173.94,718.31,5,Returns,12/18/2017 09:31,Victoria Branch,05/28/2020 15:32,TM
432226,Rabbit,519.09,0,519.09,2,Owner Surrender,05/10/2017 14:58,Abbotsford Branch,10/11/2018 17:09,TR
432227,Rabbit,519.09,0,519.09,2,Owner Surrender,05/10/2017 14:58,Abbotsford Branch,10/11/2018 17:09,TR
464911,Rabbit,459.52,0,459.52,1,Owner Surrender,06/30/2018 00:27,Haida Gwaii Branch,10/02/2019 12:56,H
464909,Rabbit,459.48,0,459.48,1,Owner Surrender,06/30/2018 00:27,Haida Gwaii Branch,10/02/2019 11:53,H
466313,Rabbit,440.8,0,440.8,1,Owner Surrender,07/16/2018 17:48,Haida Gwaii Branch,10/02/2019 12:56,H
406975,Rabbit,430.82,21.05,409.77,1,Foster Offspring,06/26/2016 01:00,Victoria Branch,09/01/2017 11:20,TR
432942,Rabbit,408.83,0,408.83,1,Humane Officer Surrendered,05/17/2017 17:48,Maple Ridge Branch,06/30/2018 13:42,TR
432943,Rabbit,408.83,0,408.83,1,Humane Officer Surrendered,05/17/2017 17:48,Maple Ridge Branch,06/30/2018 13:42,TR
420131,Rabbit,385.03,0,385.03,1,Humane Officer Surrendered,11/22/2016 15:20,Maple Ridge Branch,12/12/2017 16:05,H
420132,Rabbit,385.03,0,385.03,1,Humane Officer Surrendered,11/22/2016 15:20,Maple Ridge Branch,12/12/2017 16:05,H
440230,Rabbit,393.11,16.08,377.02,2,Humane Officer Seized,08/11/2017 12:57,Kelowna Branch,09/08/2018 15:34,H
438301,Rabbit,679.91,317.2,362.71,,Stray,07/20/2017 15:47,Richmond Community Animal Centre,05/31/2019 13:37,H
438302,Rabbit,679.91,317.2,362.71,1,Stray,07/20/2017 15:47,Richmond Community Animal Centre,05/31/2019 13:37,H
484020,Rabbit,426.96,68.95,358.01,3,Owner Surrender,03/28/2019 16:31,Victoria Branch,05/28/2020 15:32,H
444203,Rabbit,349.94,0,349.94,1,Stray,09/23/2017 16:57,South Okanagan/Similkameen Branch,09/08/2018 15:34,H
484984,Rabbit,420.99,76.04,344.95,6,Humane Officer Surrendered,04/11/2019 13:19,Victoria Branch,06/05/2020 13:07,H
464910,Rabbit,336.53,0,336.53,1,Owner Surrender,10/29/2018 23:12,Haida Gwaii Branch,10/02/2019 11:53,H
419505,Rabbit,327.82,0,327.82,3,Owner Surrender,11/12/2016 16:14,Campbell River Branch,10/06/2017 11:54,TM
419506,Rabbit,327.82,0,327.82,3,Owner Surrender,11/12/2016 16:14,Campbell River Branch,10/06/2017 11:57,TM
447246,Rabbit,317.12,13.97,303.15,1,Stray,10/28/2017 12:53,Abbotsford Branch,09/10/2018 15:51,TR
